ID,DATE,ITEMID,PRICE,AMOUNT
100376,2011-05-11,21908,2.4,12.0
100376,2011-05-17,20767,2.51,7.0
100376,2011-05-22,22497,4.91,4.0
100376,2011-05-24,22178,1.26,12.0
100376,2011-05-16,23061,1.11,12.0
100376,2011-05-25,46000S,1.36,9.0
100376,2011-05-27,84609,5.29,4.0
100376,2011-06-12,21155,2.13,12.0
100376,2011-06-06,21528,6.16,2.0
100376,2011-06-08,21530,0.8,13.0
100376,2011-06-06,21534,4.95,3.0
100376,2011-06-06,21706,5.63,4.0
100376,2011-06-08,22794,7.95,2.0
100376,2011-06-06,22360,4.14,9.0
100376,2011-06-07,22364,3.93,6.0
100376,2011-06-08,22424,12.27,8.0
100376,2011-06-08,22425,4.95,3.0
100376,2011-06-07,22426,3.75,4.0
100376,2011-06-08,22361,3.69,6.0
100376,2011-08-31,21775,1.29,12.0
100376,2011-09-26,23073,8.89,3.0
100376,2011-09-13,90063A,8.5,2.0
100376,2011-09-17,23072,5.79,3.0
100376,2011-09-11,22558,1.87,12.0
100376,2011-09-09,23395,3.61,8.0
100376,2011-09-15,23396,3.55,4.0
100376,2011-09-28,23398,1.04,24.0
100376,2011-09-24,22138,4.99,6.0
100376,2011-09-23,90028,8.5,2.0
100376,2011-09-18,23393,3.58,4.0
100376,2011-09-26,90074,8.95,2.0
100376,2011-09-10,22624,9.65,2.0
100376,2011-09-25,90184B,8.95,2.0
100376,2011-09-23,90199C,5.75,3.0
100434,2011-02-09,21880,0.8,12.0
100434,2011-02-11,22967,2.95,6.0
100434,2011-02-04,22202,3.75,4.0
100434,2011-02-16,21937,2.95,5.0
100434,2011-02-22,22627,8.03,2.0
100434,2011-02-19,22937,3.46,6.0
100434,2011-02-01,22751,3.26,4.0
100434,2011-02-24,22499,5.95,3.0
100434,2011-01-25,POST,12.75,2.0
100434,2011-03-01,20727,1.65,12.0
100434,2011-03-14,21531,2.77,6.0
100434,2011-03-09,22692,7.95,2.0
100434,2011-03-13,22960,4.25,6.0
100434,2011-03-08,22961,1.58,18.0
100434,2011-03-17,22979,1.45,12.0
100434,2011-03-06,22978,3.75,6.0
100434,2011-03-18,20972,1.25,12.0
100434,2011-03-13,23126,4.95,5.0
100434,2011-03-14,22365,6.26,3.0
100434,2011-03-09,22776,11.0,1.0
100434,2011-04-24,21249,2.95,6.0
100434,2011-04-03,21928,2.1,6.0
100434,2011-03-24,22384,3.63,4.0
100434,2011-03-14,22432,1.95,6.0
100434,2011-04-04,22456,4.95,3.0
100434,2011-03-07,22505,4.95,4.0
100434,2011-04-25,22605,17.03,2.0
100434,2011-04-04,22896,2.6,5.0
100434,2011-03-27,22968,9.95,4.0
100434,2011-06-22,22627,8.23,2.0
100434,2011-10-30,23206,1.65,10.0
100434,2011-11-13,23213,1.1,12.0
100434,2011-08-04,20972,1.24,12.0
100434,2011-09-11,22086,4.88,6.0
100434,2011-11-01,22939,4.95,4.0
100434,2011-09-17,23311,0.85,6.0
100434,2011-09-17,23313,6.4,5.0
100434,2011-10-04,23316,9.95,2.0
100434,2011-08-24,POST,,3.0
100610,2010-12-03,10002,0.71,10.0
100610,2010-12-02,22774,1.5,12.0
100610,2010-12-03,22603,1.12,9.0
100610,2010-12-02,22739,1.61,11.0
100610,2010-12-02,21892,1.25,11.0
100610,2010-12-02,22080,1.37,10.0
100610,2010-12-02,22662,1.53,8.0
100610,2010-12-04,21672,1.26,6.0
100610,2010-12-02,22023,0.5,6.0
100610,2010-12-04,22027,0.47,11.0
100610,2010-12-03,22595,0.78,12.0
100610,2010-12-04,22601,0.61,6.0
100610,2010-12-03,22077,1.52,3.0
100610,2010-12-04,22130,0.79,12.0
100610,2010-12-03,22972,1.65,12.0
100610,2010-12-02,22630,1.95,4.0
100610,2010-12-02,22432,2.06,3.0
100610,2010-12-02,22433,1.76,3.0
100610,2010-12-03,22470,4.79,5.0
100610,2010-12-04,21069,0.87,9.0
100610,2010-12-03,22578,0.55,6.0
100610,2010-12-02,21518,0.55,7.0
